UID	Encoding	Code
PG	ISO-3166-1-a2	PG
PH	ISO-3166-1-a2	PH
PK	ISO-3166-1-a2	PK
PL	ISO-3166-1-a2	PL
PM	ISO-3166-1-a2	PM
PN	ISO-3166-1-a2	PN
PS	ISO-3166-1-a2	PS
PT	ISO-3166-1-a2	PT
PW	ISO-3166-1-a2	PW
PY	ISO-3166-1-a2	PY
QA	ISO-3166-1-a2	QA
RE	ISO-3166-1-a2	RE
RO	ISO-3166-1-a2	RO
RS	ISO-3166-1-a2	RS
RU	ISO-3166-1-a2	RU
RW	ISO-3166-1-a2	RW
SA	ISO-3166-1-a2	SA
SB	ISO-3166-1-a2	SB
SC	ISO-3166-1-a2	SC
SD	ISO-3166-1-a2	SD
SE	ISO-3166-1-a2	SE
SG	ISO-3166-1-a2	SG
SH	ISO-3166-1-a2	SH
SI	ISO-3166-1-a2	SI
SJ	ISO-3166-1-a2	SJ
SK	ISO-3166-1-a2	SK
SL	ISO-3166-1-a2	SL
SM	ISO-3166-1-a2	SM
SN	ISO-3166-1-a2	SN
SO	ISO-3166-1-a2	SO
SR	ISO-3166-1-a2	SR
SS	ISO-3166-1-a2	SS
ST	ISO-3166-1-a2	ST
SV	ISO-3166-1-a2	SV
SX	ISO-3166-1-a2	SX
SY	ISO-3166-1-a2	SY
SZ	ISO-3166-1-a2	SZ
TC	ISO-3166-1-a2	TC
TD	ISO-3166-1-a2	TD
TF	ISO-3166-1-a2	TF
TG	ISO-3166-1-a2	TG
TH	ISO-3166-1-a2	TH
TJ	ISO-3166-1-a2	TJ
TK	ISO-3166-1-a2	TK
TL	ISO-3166-1-a2	TL
TM	ISO-3166-1-a2	TM
TN	ISO-3166-1-a2	TN
TO	ISO-3166-1-a2	TO
TR	ISO-3166-1-a2	TR
TT	ISO-3166-1-a2	TT
TV	ISO-3166-1-a2	TV
TW	ISO-3166-1-a2	TW
TZ	ISO-3166-1-a2	TZ
UA	ISO-3166-1-a2	UA
UG	ISO-3166-1-a2	UG
UM	ISO-3166-1-a2	UM
US	ISO-3166-1-a2	US
UY	ISO-3166-1-a2	UY
UZ	ISO-3166-1-a2	UZ
VA	ISO-3166-1-a2	VA
VC	ISO-3166-1-a2	VC
VE	ISO-3166-1-a2	VE
VG	ISO-3166-1-a2	VG
VI	ISO-3166-1-a2	VI
VN	ISO-3166-1-a2	VN
VU	ISO-3166-1-a2	VU
WF	ISO-3166-1-a2	WF
WS	ISO-3166-1-a2	WS
YE	ISO-3166-1-a2	YE
YT	ISO-3166-1-a2	YT
ZA	ISO-3166-1-a2	ZA
ZM	ISO-3166-1-a2	ZM
ZW	ISO-3166-1-a2	ZW
AD	ISO-3166-1-a3	AND
AE	ISO-3166-1-a3	ARE
AF	ISO-3166-1-a3	AFG
AG	ISO-3166-1-a3	ATG
AI	ISO-3166-1-a3	AIA
AL	ISO-3166-1-a3	ALB
AM	ISO-3166-1-a3	ARM
AO	ISO-3166-1-a3	AGO
AQ	ISO-3166-1-a3	ATA
AR	ISO-3166-1-a3	ARG
AS	ISO-3166-1-a3	ASM
AT	ISO-3166-1-a3	AUT
AU	ISO-3166-1-a3	AUS
AW	ISO-3166-1-a3	ABW
AX	ISO-3166-1-a3	ALA
AZ	ISO-3166-1-a3	AZE
BA	ISO-3166-1-a3	BIH
BB	ISO-3166-1-a3	BRB
BD	ISO-3166-1-a3	BGD
BE	ISO-3166-1-a3	BEL
BF	ISO-3166-1-a3	BFA
BG	ISO-3166-1-a3	BGR
BH	ISO-3166-1-a3	BHR
BI	ISO-3166-1-a3	BDI
BJ	ISO-3166-1-a3	BEN
BL	ISO-3166-1-a3	BLM
BM	ISO-3166-1-a3	BMU
BN	ISO-3166-1-a3	BRN
BO	ISO-3166-1-a3	BOL
BQ	ISO-3166-1-a3	BES
BR	ISO-3166-1-a3	BRA
BS	ISO-3166-1-a3	BHS
BT	ISO-3166-1-a3	BTN
BV	ISO-3166-1-a3	BVT
BW	ISO-3166-1-a3	BWA
BY	ISO-3166-1-a3	BLR
BZ	ISO-3166-1-a3	BLZ
CA	ISO-3166-1-a3	CAN
CC	ISO-3166-1-a3	CCK
CD	ISO-3166-1-a3	COD
CF	ISO-3166-1-a3	CAF
CG	ISO-3166-1-a3	COG
CH	ISO-3166-1-a3	CHE
CI	ISO-3166-1-a3	CIV
CK	ISO-3166-1-a3	COK
CL	ISO-3166-1-a3	CHL
CM	ISO-3166-1-a3	CMR
CN	ISO-3166-1-a3	CHN
CO	ISO-3166-1-a3	COL
CR	ISO-3166-1-a3	CRI
CU	ISO-3166-1-a3	CUB
CV	ISO-3166-1-a3	CPV
CW	ISO-3166-1-a3	CUW
CX	ISO-3166-1-a3	CXR
CY	ISO-3166-1-a3	CYP
CZ	ISO-3166-1-a3	CZE
DE	ISO-3166-1-a3	DEU
DJ	ISO-3166-1-a3	DJI
DK	ISO-3166-1-a3	DNK
DM	ISO-3166-1-a3	DMA
DO	ISO-3166-1-a3	DOM
DZ	ISO-3166-1-a3	DZA
EC	ISO-3166-1-a3	ECU
EE	ISO-3166-1-a3	EST
EG	ISO-3166-1-a3	EGY
EH	ISO-3166-1-a3	ESH
ER	ISO-3166-1-a3	ERI
ES	ISO-3166-1-a3	ESP
ET	ISO-3166-1-a3	ETH
FI	ISO-3166-1-a3	FIN
FJ	ISO-3166-1-a3	FJI
FK	ISO-3166-1-a3	FLK
FM	ISO-3166-1-a3	FSM
FO	ISO-3166-1-a3	FRO
FR	ISO-3166-1-a3	FRA
GA	ISO-3166-1-a3	GAB
GB	ISO-3166-1-a3	GBR
GD	ISO-3166-1-a3	GRD
GE	ISO-3166-1-a3	GEO
GF	ISO-3166-1-a3	GUF
GG	ISO-3166-1-a3	GGY
GH	ISO-3166-1-a3	GHA
GI	ISO-3166-1-a3	GIB
GL	ISO-3166-1-a3	GRL
GM	ISO-3166-1-a3	GMB
GN	ISO-3166-1-a3	GIN
GP	ISO-3166-1-a3	GLP
GQ	ISO-3166-1-a3	GNQ
GR	ISO-3166-1-a3	GRC
GS	ISO-3166-1-a3	SGS
GT	ISO-3166-1-a3	GTM
GU	ISO-3166-1-a3	GUM
GW	ISO-3166-1-a3	GNB
GY	ISO-3166-1-a3	GUY
HK	ISO-3166-1-a3	HKG
HM	ISO-3166-1-a3	HMD
HN	ISO-3166-1-a3	HND
HR	ISO-3166-1-a3	HRV
HT	ISO-3166-1-a3	HTI
HU	ISO-3166-1-a3	HUN
ID	ISO-3166-1-a3	IDN
IE	ISO-3166-1-a3	IRL
IL	ISO-3166-1-a3	ISR
IM	ISO-3166-1-a3	IMN
IN	ISO-3166-1-a3	IND
IO	ISO-3166-1-a3	IOT
IQ	ISO-3166-1-a3	IRQ
IR	ISO-3166-1-a3	IRN
IS	ISO-3166-1-a3	ISL
IT	ISO-3166-1-a3	ITA
JE	ISO-3166-1-a3	JEY
JM	ISO-3166-1-a3	JAM
JO	ISO-3166-1-a3	JOR
JP	ISO-3166-1-a3	JPN
KE	ISO-3166-1-a3	KEN
KG	ISO-3166-1-a3	KGZ
KH	ISO-3166-1-a3	KHM
KI	ISO-3166-1-a3	KIR
KM	ISO-3166-1-a3	COM
KN	ISO-3166-1-a3	KNA
KP	ISO-3166-1-a3	PRK
KR	ISO-3166-1-a3	KOR
KW	ISO-3166-1-a3	KWT
KY	ISO-3166-1-a3	CYM
KZ	ISO-3166-1-a3	KAZ
LA	ISO-3166-1-a3	LAO
LB	ISO-3166-1-a3	LBN
LC	ISO-3166-1-a3	LCA
LI	ISO-3166-1-a3	LIE
LK	ISO-3166-1-a3	LKA
LR	ISO-3166-1-a3	LBR
LS	ISO-3166-1-a3	LSO
LT	ISO-3166-1-a3	LTU
LU	ISO-3166-1-a3	LUX
LV	ISO-3166-1-a3	LVA
LY	ISO-3166-1-a3	LBY
MA	ISO-3166-1-a3	MAR
MC	ISO-3166-1-a3	MCO
MD	ISO-3166-1-a3	MDA
ME	ISO-3166-1-a3	MNE
MF	ISO-3166-1-a3	MAF
MG	ISO-3166-1-a3	MDG
MH	ISO-3166-1-a3	MHL
MK	ISO-3166-1-a3	MKD
ML	ISO-3166-1-a3	MLI
MM	ISO-3166-1-a3	MMR
MN	ISO-3166-1-a3	MNG
MO	ISO-3166-1-a3	MAC
MP	ISO-3166-1-a3	MNP
MQ	ISO-3166-1-a3	MTQ
MR	ISO-3166-1-a3	MRT
MS	ISO-3166-1-a3	MSR
MT	ISO-3166-1-a3	MLT
MU	ISO-3166-1-a3	MUS
MV	ISO-3166-1-a3	MDV
MW	ISO-3166-1-a3	MWI
MX	ISO-3166-1-a3	MEX
MY	ISO-3166-1-a3	MYS
MZ	ISO-3166-1-a3	MOZ
NA	ISO-3166-1-a3	NAM
NC	ISO-3166-1-a3	NCL
NE	ISO-3166-1-a3	NER
NF	ISO-3166-1-a3	NFK
NG	ISO-3166-1-a3	NGA
NI	ISO-3166-1-a3	NIC
NL	ISO-3166-1-a3	NLD
NO	ISO-3166-1-a3	NOR
NP	ISO-3166-1-a3	NPL
NR	ISO-3166-1-a3	NRU
NU	ISO-3166-1-a3	NIU
NZ	ISO-3166-1-a3	NZL
OM	ISO-3166-1-a3	OMN
PA	ISO-3166-1-a3	PAN
PE	ISO-3166-1-a3	PER
PF	ISO-3166-1-a3	PYF
PG	ISO-3166-1-a3	PNG
PH	ISO-3166-1-a3	PHL
PK	ISO-3166-1-a3	PAK
PL	ISO-3166-1-a3	POL
PM	ISO-3166-1-a3	SPM
PN	ISO-3166-1-a3	PCN
PS	ISO-3166-1-a3	PSE
PT	ISO-3166-1-a3	PRT
PW	ISO-3166-1-a3	PLW
PY	ISO-3166-1-a3	PRY
QA	ISO-3166-1-a3	QAT
RE	ISO-3166-1-a3	REU
RO	ISO-3166-1-a3	ROU
RS	ISO-3166-1-a3	SRB
RU	ISO-3166-1-a3	RUS
RW	ISO-3166-1-a3	RWA
SA	ISO-3166-1-a3	SAU
SB	ISO-3166-1-a3	SLB
SC	ISO-3166-1-a3	SYC
SD	ISO-3166-1-a3	SDN
SE	ISO-3166-1-a3	SWE
SG	ISO-3166-1-a3	SGP
SH	ISO-3166-1-a3	SHN
SI	ISO-3166-1-a3	SVN
SJ	ISO-3166-1-a3	SJM
SK	ISO-3166-1-a3	SVK
SL	ISO-3166-1-a3	SLE
SM	ISO-3166-1-a3	SMR
SN	ISO-3166-1-a3	SEN
SO	ISO-3166-1-a3	SOM
SR	ISO-3166-1-a3	SUR
SS	ISO-3166-1-a3	SSD
ST	ISO-3166-1-a3	STP
SV	ISO-3166-1-a3	SLV
SX	ISO-3166-1-a3	SXM
SY	ISO-3166-1-a3	SYR
SZ	ISO-3166-1-a3	SWZ
TC	ISO-3166-1-a3	TCA
TD	ISO-3166-1-a3	TCD
TF	ISO-3166-1-a3	ATF
TG	ISO-3166-1-a3	TGO
TH	ISO-3166-1-a3	THA
TJ	ISO-3166-1-a3	TJK
TK	ISO-3166-1-a3	TKL
TL	ISO-3166-1-a3	TLS
TM	ISO-3166-1-a3	TKM
TN	ISO-3166-1-a3	TUN
TO	ISO-3166-1-a3	TON
TR	ISO-3166-1-a3	TUR
TT	ISO-3166-1-a3	TTO
TV	ISO-3166-1-a3	TUV
TW	ISO-3166-1-a3	TWN
TZ	ISO-3166-1-a3	TZA
UA	ISO-3166-1-a3	UKR
UG	ISO-3166-1-a3	UGA
UM	ISO-3166-1-a3	UMI
US	ISO-3166-1-a3	USA
UY	ISO-3166-1-a3	URY
UZ	ISO-3166-1-a3	UZB
VA	ISO-3166-1-a3	VAT
VC	ISO-3166-1-a3	VCT
VE	ISO-3166-1-a3	VEN
VG	ISO-3166-1-a3	VGB
VI	ISO-3166-1-a3	VIR
VN	ISO-3166-1-a3	VNM
VU	ISO-3166-1-a3	VUT
WF	ISO-3166-1-a3	WLF
WS	ISO-3166-1-a3	WSM
YE	ISO-3166-1-a3	YEM
YT	ISO-3166-1-a3	MYT
ZA	ISO-3166-1-a3	ZAF
ZM	ISO-3166-1-a3	ZMB
ZW	ISO-3166-1-a3	ZWE
AD	ISO-3166-1-n	020
AE	ISO-3166-1-n	784
AF	ISO-3166-1-n	004
AG	ISO-3166-1-n	028
AI	ISO-3166-1-n	660
AL	ISO-3166-1-n	008
AM	ISO-3166-1-n	051
AO	ISO-3166-1-n	024
AQ	ISO-3166-1-n	010
AR	ISO-3166-1-n	032
AS	ISO-3166-1-n	016
AT	ISO-3166-1-n	040
AU	ISO-3166-1-n	036
AW	ISO-3166-1-n	533
AX	ISO-3166-1-n	248
AZ	ISO-3166-1-n	031
