UID	Encoding	Code
IE-M-KY	ISO-3166-2	IE-KY
IE-M-LK	ISO-3166-2	IE-LK
IE-M-TA	ISO-3166-2	IE-TA
IE-M-WD	ISO-3166-2	IE-WD
IE-U	ISO-3166-2	IE-U
IE-U-CN	ISO-3166-2	IE-CN
IE-U-DL	ISO-3166-2	IE-DL
IE-U-MN	ISO-3166-2	IE-MN
IL-D	ISO-3166-2	IL-D
IL-HA	ISO-3166-2	IL-HA
IL-JM	ISO-3166-2	IL-JM
IL-M	ISO-3166-2	IL-M
IL-TA	ISO-3166-2	IL-TA
IL-Z	ISO-3166-2	IL-Z
IN-AN	ISO-3166-2	IN-AN
IN-AP	ISO-3166-2	IN-AP
IN-AR	ISO-3166-2	IN-AR
IN-AS	ISO-3166-2	IN-AS
IN-BR	ISO-3166-2	IN-BR
IN-CH	ISO-3166-2	IN-CH
IN-CT	ISO-3166-2	IN-CT
IN-DD	ISO-3166-2	IN-DD
IN-DL	ISO-3166-2	IN-DL
IN-DN	ISO-3166-2	IN-DN
IN-GA	ISO-3166-2	IN-GA
IN-GJ	ISO-3166-2	IN-GJ
IN-HP	ISO-3166-2	IN-HP
IN-HR	ISO-3166-2	IN-HR
IN-JH	ISO-3166-2	IN-JH
IN-JK	ISO-3166-2	IN-JK
IN-KA	ISO-3166-2	IN-KA
IN-KL	ISO-3166-2	IN-KL
IN-LD	ISO-3166-2	IN-LD
IN-MH	ISO-3166-2	IN-MH
IN-ML	ISO-3166-2	IN-ML
IN-MN	ISO-3166-2	IN-MN
IN-MP	ISO-3166-2	IN-MP
IN-MZ	ISO-3166-2	IN-MZ
IN-NL	ISO-3166-2	IN-NL
IN-OR	ISO-3166-2	IN-OR
IN-PB	ISO-3166-2	IN-PB
IN-PY	ISO-3166-2	IN-PY
IN-RJ	ISO-3166-2	IN-RJ
IN-SK	ISO-3166-2	IN-SK
IN-TN	ISO-3166-2	IN-TN
IN-TR	ISO-3166-2	IN-TR
IN-UP	ISO-3166-2	IN-UP
IN-UT	ISO-3166-2	IN-UT
IN-WB	ISO-3166-2	IN-WB
IQ-AN	ISO-3166-2	IQ-AN
IQ-AR	ISO-3166-2	IQ-AR
IQ-BA	ISO-3166-2	IQ-BA
IQ-BB	ISO-3166-2	IQ-BB
IQ-BG	ISO-3166-2	IQ-BG
IQ-DA	ISO-3166-2	IQ-DA
IQ-DI	ISO-3166-2	IQ-DI
IQ-DQ	ISO-3166-2	IQ-DQ
IQ-KA	ISO-3166-2	IQ-KA
IQ-MA	ISO-3166-2	IQ-MA
IQ-MU	ISO-3166-2	IQ-MU
IQ-NA	ISO-3166-2	IQ-NA
IQ-NI	ISO-3166-2	IQ-NI
IQ-QA	ISO-3166-2	IQ-QA
IQ-SD	ISO-3166-2	IQ-SD
IQ-SW	ISO-3166-2	IQ-SW
IQ-TS	ISO-3166-2	IQ-TS
IQ-WA	ISO-3166-2	IQ-WA
IR-01	ISO-3166-2	IR-01
IR-02	ISO-3166-2	IR-02
IR-03	ISO-3166-2	IR-03
IR-04	ISO-3166-2	IR-04
IR-05	ISO-3166-2	IR-05
IR-06	ISO-3166-2	IR-06
IR-07	ISO-3166-2	IR-07
IR-08	ISO-3166-2	IR-08
IR-10	ISO-3166-2	IR-10
IR-11	ISO-3166-2	IR-11
IR-12	ISO-3166-2	IR-12
IR-13	ISO-3166-2	IR-13
IR-14	ISO-3166-2	IR-14
IR-15	ISO-3166-2	IR-15
IR-16	ISO-3166-2	IR-16
IR-17	ISO-3166-2	IR-17
IR-18	ISO-3166-2	IR-18
IR-19	ISO-3166-2	IR-19
IR-20	ISO-3166-2	IR-20
IR-21	ISO-3166-2	IR-21
IR-22	ISO-3166-2	IR-22
IR-23	ISO-3166-2	IR-23
IR-24	ISO-3166-2	IR-24
IR-25	ISO-3166-2	IR-25
IR-26	ISO-3166-2	IR-26
IR-27	ISO-3166-2	IR-27
IR-28	ISO-3166-2	IR-28
IR-29	ISO-3166-2	IR-29
IR-30	ISO-3166-2	IR-30
IR-31	ISO-3166-2	IR-31
IS-0	ISO-3166-2	IS-0
IS-1	ISO-3166-2	IS-1
IS-2	ISO-3166-2	IS-2
IS-3	ISO-3166-2	IS-3
IS-4	ISO-3166-2	IS-4
IS-5	ISO-3166-2	IS-5
IS-6	ISO-3166-2	IS-6
IS-7	ISO-3166-2	IS-7
IS-8	ISO-3166-2	IS-8
IT-21	ISO-3166-2	IT-21
IT-21-AL	ISO-3166-2	IT-AL
IT-21-AT	ISO-3166-2	IT-AT
IT-21-BI	ISO-3166-2	IT-BI
IT-21-CN	ISO-3166-2	IT-CN
IT-21-NO	ISO-3166-2	IT-NO
IT-21-TO	ISO-3166-2	IT-TO
IT-21-VB	ISO-3166-2	IT-VB
IT-21-VC	ISO-3166-2	IT-VC
IT-23	ISO-3166-2	IT-23
IT-23-AO	ISO-3166-2	IT-AO
IT-25	ISO-3166-2	IT-25
IT-25-BG	ISO-3166-2	IT-BG
IT-25-BS	ISO-3166-2	IT-BS
IT-25-CO	ISO-3166-2	IT-CO
IT-25-CR	ISO-3166-2	IT-CR
IT-25-LC	ISO-3166-2	IT-LC
IT-25-LO	ISO-3166-2	IT-LO
IT-25-MN	ISO-3166-2	IT-MN
IT-25-MI	ISO-3166-2	IT-MI
IT-25-MB	ISO-3166-2	IT-MB
IT-25-PV	ISO-3166-2	IT-PV
IT-25-SO	ISO-3166-2	IT-SO
IT-25-VA	ISO-3166-2	IT-VA
IT-32	ISO-3166-2	IT-32
IT-32-BZ	ISO-3166-2	IT-BZ
IT-32-TN	ISO-3166-2	IT-TN
IT-34	ISO-3166-2	IT-34
IT-34-BL	ISO-3166-2	IT-BL
IT-34-PD	ISO-3166-2	IT-PD
IT-34-RO	ISO-3166-2	IT-RO
IT-34-TV	ISO-3166-2	IT-TV
IT-34-VE	ISO-3166-2	IT-VE
IT-34-VR	ISO-3166-2	IT-VR
IT-34-VI	ISO-3166-2	IT-VI
IT-36	ISO-3166-2	IT-36
IT-36-GO	ISO-3166-2	IT-GO
IT-36-PN	ISO-3166-2	IT-PN
IT-36-TS	ISO-3166-2	IT-TS
IT-36-UD	ISO-3166-2	IT-UD
IT-42	ISO-3166-2	IT-42
IT-42-GE	ISO-3166-2	IT-GE
IT-42-IM	ISO-3166-2	IT-IM
IT-42-SP	ISO-3166-2	IT-SP
IT-42-SV	ISO-3166-2	IT-SV
IT-45	ISO-3166-2	IT-45
IT-45-BO	ISO-3166-2	IT-BO
IT-45-FE	ISO-3166-2	IT-FE
IT-45-FC	ISO-3166-2	IT-FC
IT-45-MO	ISO-3166-2	IT-MO
IT-45-PR	ISO-3166-2	IT-PR
IT-45-PC	ISO-3166-2	IT-PC
IT-45-RA	ISO-3166-2	IT-RA
IT-45-RE	ISO-3166-2	IT-RE
IT-45-RN	ISO-3166-2	IT-RN
IT-52	ISO-3166-2	IT-52
IT-52-AR	ISO-3166-2	IT-AR
IT-52-FI	ISO-3166-2	IT-FI
IT-52-GR	ISO-3166-2	IT-GR
IT-52-LI	ISO-3166-2	IT-LI
IT-52-LU	ISO-3166-2	IT-LU
IT-52-MS	ISO-3166-2	IT-MS
IT-52-PI	ISO-3166-2	IT-PI
IT-52-PT	ISO-3166-2	IT-PT
IT-52-PO	ISO-3166-2	IT-PO
IT-52-SI	ISO-3166-2	IT-SI
IT-55	ISO-3166-2	IT-55
IT-55-PG	ISO-3166-2	IT-PG
IT-55-TR	ISO-3166-2	IT-TR
IT-57	ISO-3166-2	IT-57
IT-57-AN	ISO-3166-2	IT-AN
IT-57-AP	ISO-3166-2	IT-AP
IT-57-FM	ISO-3166-2	IT-FM
IT-57-MC	ISO-3166-2	IT-MC
IT-57-PU	ISO-3166-2	IT-PU
IT-62	ISO-3166-2	IT-62
IT-62-FR	ISO-3166-2	IT-FR
IT-62-LT	ISO-3166-2	IT-LT
IT-62-RI	ISO-3166-2	IT-RI
IT-62-RM	ISO-3166-2	IT-RM
IT-62-VT	ISO-3166-2	IT-VT
IT-65	ISO-3166-2	IT-65
IT-65-CH	ISO-3166-2	IT-CH
IT-65-AQ	ISO-3166-2	IT-AQ
IT-65-PE	ISO-3166-2	IT-PE
IT-65-TE	ISO-3166-2	IT-TE
IT-67	ISO-3166-2	IT-67
IT-67-CB	ISO-3166-2	IT-CB
IT-67-IS	ISO-3166-2	IT-IS
IT-72	ISO-3166-2	IT-72
IT-72-AV	ISO-3166-2	IT-AV
IT-72-BN	ISO-3166-2	IT-BN
IT-72-CE	ISO-3166-2	IT-CE
IT-72-NA	ISO-3166-2	IT-NA
IT-72-SA	ISO-3166-2	IT-SA
IT-75	ISO-3166-2	IT-75
IT-75-BA	ISO-3166-2	IT-BA
IT-75-BT	ISO-3166-2	IT-BT
IT-75-BR	ISO-3166-2	IT-BR
IT-75-FG	ISO-3166-2	IT-FG
IT-75-LE	ISO-3166-2	IT-LE
IT-75-TA	ISO-3166-2	IT-TA
IT-77	ISO-3166-2	IT-77
IT-77-MT	ISO-3166-2	IT-MT
IT-77-PZ	ISO-3166-2	IT-PZ
IT-78	ISO-3166-2	IT-78
IT-78-CZ	ISO-3166-2	IT-CZ
IT-78-CS	ISO-3166-2	IT-CS
IT-78-KR	ISO-3166-2	IT-KR
IT-78-RC	ISO-3166-2	IT-RC
IT-78-VV	ISO-3166-2	IT-VV
IT-82	ISO-3166-2	IT-82
IT-82-AG	ISO-3166-2	IT-AG
IT-82-CL	ISO-3166-2	IT-CL
IT-82-CT	ISO-3166-2	IT-CT
IT-82-EN	ISO-3166-2	IT-EN
IT-82-ME	ISO-3166-2	IT-ME
IT-82-PA	ISO-3166-2	IT-PA
IT-82-RG	ISO-3166-2	IT-RG
IT-82-SR	ISO-3166-2	IT-SR
IT-82-TP	ISO-3166-2	IT-TP
IT-88	ISO-3166-2	IT-88
IT-88-CA	ISO-3166-2	IT-CA
IT-88-CI	ISO-3166-2	IT-CI
IT-88-VS	ISO-3166-2	IT-VS
IT-88-NU	ISO-3166-2	IT-NU
IT-88-OG	ISO-3166-2	IT-OG
IT-88-OT	ISO-3166-2	IT-OT
IT-88-OR	ISO-3166-2	IT-OR
IT-88-SS	ISO-3166-2	IT-SS
JM-01	ISO-3166-2	JM-01
JM-02	ISO-3166-2	JM-02
JM-03	ISO-3166-2	JM-03
JM-04	ISO-3166-2	JM-04
JM-05	ISO-3166-2	JM-05
JM-06	ISO-3166-2	JM-06
JM-07	ISO-3166-2	JM-07
JM-08	ISO-3166-2	JM-08
JM-09	ISO-3166-2	JM-09
JM-10	ISO-3166-2	JM-10
JM-11	ISO-3166-2	JM-11
JM-12	ISO-3166-2	JM-12
JM-13	ISO-3166-2	JM-13
JM-14	ISO-3166-2	JM-14
JO-AJ	ISO-3166-2	JO-AJ
JO-AM	ISO-3166-2	JO-AM
JO-AQ	ISO-3166-2	JO-AQ
JO-AT	ISO-3166-2	JO-AT
JO-AZ	ISO-3166-2	JO-AZ
JO-BA	ISO-3166-2	JO-BA
JO-IR	ISO-3166-2	JO-IR
JO-JA	ISO-3166-2	JO-JA
JO-KA	ISO-3166-2	JO-KA
JO-MA	ISO-3166-2	JO-MA
JO-MD	ISO-3166-2	JO-MD
JO-MN	ISO-3166-2	JO-MN
JP-01	ISO-3166-2	JP-01
JP-02	ISO-3166-2	JP-02
JP-03	ISO-3166-2	JP-03
JP-04	ISO-3166-2	JP-04
JP-05	ISO-3166-2	JP-05
JP-06	ISO-3166-2	JP-06
JP-07	ISO-3166-2	JP-07
JP-08	ISO-3166-2	JP-08
JP-09	ISO-3166-2	JP-09
JP-10	ISO-3166-2	JP-10
JP-11	ISO-3166-2	JP-11
JP-12	ISO-3166-2	JP-12
JP-13	ISO-3166-2	JP-13
JP-14	ISO-3166-2	JP-14
JP-15	ISO-3166-2	JP-15
JP-16	ISO-3166-2	JP-16
JP-17	ISO-3166-2	JP-17
JP-18	ISO-3166-2	JP-18
JP-19	ISO-3166-2	JP-19
JP-20	ISO-3166-2	JP-20
JP-21	ISO-3166-2	JP-21
JP-22	ISO-3166-2	JP-22
JP-23	ISO-3166-2	JP-23
JP-24	ISO-3166-2	JP-24
JP-25	ISO-3166-2	JP-25
JP-26	ISO-3166-2	JP-26
JP-27	ISO-3166-2	JP-27
JP-28	ISO-3166-2	JP-28
JP-29	ISO-3166-2	JP-29
JP-30	ISO-3166-2	JP-30
JP-31	ISO-3166-2	JP-31
JP-32	ISO-3166-2	JP-32
JP-33	ISO-3166-2	JP-33
JP-34	ISO-3166-2	JP-34
JP-35	ISO-3166-2	JP-35
JP-36	ISO-3166-2	JP-36
JP-37	ISO-3166-2	JP-37
JP-38	ISO-3166-2	JP-38
JP-39	ISO-3166-2	JP-39
JP-40	ISO-3166-2	JP-40
JP-41	ISO-3166-2	JP-41
JP-42	ISO-3166-2	JP-42
JP-43	ISO-3166-2	JP-43
JP-44	ISO-3166-2	JP-44
JP-45	ISO-3166-2	JP-45
JP-46	ISO-3166-2	JP-46
JP-47	ISO-3166-2	JP-47
KE-110	ISO-3166-2	KE-110
KE-200	ISO-3166-2	KE-200
KE-300	ISO-3166-2	KE-300
KE-400	ISO-3166-2	KE-400
KE-500	ISO-3166-2	KE-500
KE-700	ISO-3166-2	KE-700
KE-800	ISO-3166-2	KE-800
KG-B	ISO-3166-2	KG-B
KG-C	ISO-3166-2	KG-C
KG-GB	ISO-3166-2	KG-GB
KG-J	ISO-3166-2	KG-J
KG-N	ISO-3166-2	KG-N
KG-O	ISO-3166-2	KG-O
KG-T	ISO-3166-2	KG-T
KG-Y	ISO-3166-2	KG-Y
KH-1	ISO-3166-2	KH-1
KH-10	ISO-3166-2	KH-10
KH-11	ISO-3166-2	KH-11
KH-12	ISO-3166-2	KH-12
KH-13	ISO-3166-2	KH-13
KH-14	ISO-3166-2	KH-14
KH-15	ISO-3166-2	KH-15
KH-16	ISO-3166-2	KH-16
KH-17	ISO-3166-2	KH-17
KH-18	ISO-3166-2	KH-18
KH-19	ISO-3166-2	KH-19
KH-2	ISO-3166-2	KH-2
KH-20	ISO-3166-2	KH-20
KH-21	ISO-3166-2	KH-21
KH-22	ISO-3166-2	KH-22
KH-23	ISO-3166-2	KH-23
KH-24	ISO-3166-2	KH-24
KH-3	ISO-3166-2	KH-3
KH-4	ISO-3166-2	KH-4
KH-5	ISO-3166-2	KH-5
KH-6	ISO-3166-2	KH-6
KH-7	ISO-3166-2	KH-7
KH-8	ISO-3166-2	KH-8
KH-9	ISO-3166-2	KH-9
KI-G	ISO-3166-2	KI-G
KI-L	ISO-3166-2	KI-L
KI-P	ISO-3166-2	KI-P
KM-A	ISO-3166-2	KM-A
KM-G	ISO-3166-2	KM-G
KM-M	ISO-3166-2	KM-M
KN-K	ISO-3166-2	KN-K
KN-K-01	ISO-3166-2	KN-01
KN-K-02	ISO-3166-2	KN-02
KN-K-03	ISO-3166-2	KN-03
KN-K-06	ISO-3166-2	KN-06
KN-K-08	ISO-3166-2	KN-08
KN-K-09	ISO-3166-2	KN-09
KN-K-11	ISO-3166-2	KN-11
KN-K-13	ISO-3166-2	KN-13
KN-K-15	ISO-3166-2	KN-15
KN-N	ISO-3166-2	KN-N
KN-N-04	ISO-3166-2	KN-04
KN-N-05	ISO-3166-2	KN-05
KN-N-07	ISO-3166-2	KN-07
KN-N-10	ISO-3166-2	KN-10
KN-N-12	ISO-3166-2	KN-12
KP-01	ISO-3166-2	KP-01
KP-02	ISO-3166-2	KP-02
KP-03	ISO-3166-2	KP-03
KP-04	ISO-3166-2	KP-04
KP-05	ISO-3166-2	KP-05
KP-06	ISO-3166-2	KP-06
KP-07	ISO-3166-2	KP-07
KP-08	ISO-3166-2	KP-08
KP-09	ISO-3166-2	KP-09
KP-10	ISO-3166-2	KP-10
KP-13	ISO-3166-2	KP-13
KR-11	ISO-3166-2	KR-11
KR-26	ISO-3166-2	KR-26
KR-27	ISO-3166-2	KR-27
KR-28	ISO-3166-2	KR-28
KR-29	ISO-3166-2	KR-29
KR-30	ISO-3166-2	KR-30
KR-31	ISO-3166-2	KR-31
KR-41	ISO-3166-2	KR-41
KR-42	ISO-3166-2	KR-42
KR-43	ISO-3166-2	KR-43
KR-44	ISO-3166-2	KR-44
KR-45	ISO-3166-2	KR-45
KR-46	ISO-3166-2	KR-46
KR-47	ISO-3166-2	KR-47
KR-48	ISO-3166-2	KR-48
KR-49	ISO-3166-2	KR-49
KW-AH	ISO-3166-2	KW-AH
KW-FA	ISO-3166-2	KW-FA
KW-HA	ISO-3166-2	KW-HA
KW-JA	ISO-3166-2	KW-JA
KW-KU	ISO-3166-2	KW-KU
KW-MU	ISO-3166-2	KW-MU
KZ-AKM	ISO-3166-2	KZ-AKM
KZ-AKT	ISO-3166-2	KZ-AKT
KZ-ALA	ISO-3166-2	KZ-ALA
KZ-ALM	ISO-3166-2	KZ-ALM
KZ-AST	ISO-3166-2	KZ-AST
KZ-ATY	ISO-3166-2	KZ-ATY
KZ-KAR	ISO-3166-2	KZ-KAR
KZ-KUS	ISO-3166-2	KZ-KUS
KZ-KZY	ISO-3166-2	KZ-KZY
KZ-MAN	ISO-3166-2	KZ-MAN
KZ-PAV	ISO-3166-2	KZ-PAV
KZ-SEV	ISO-3166-2	KZ-SEV
KZ-VOS	ISO-3166-2	KZ-VOS
KZ-YUZ	ISO-3166-2	KZ-YUZ
KZ-ZAP	ISO-3166-2	KZ-ZAP
KZ-ZHA	ISO-3166-2	KZ-ZHA
LA-AT	ISO-3166-2	LA-AT
LA-BK	ISO-3166-2	LA-BK
LA-BL	ISO-3166-2	LA-BL
LA-CH	ISO-3166-2	LA-CH
LA-HO	ISO-3166-2	LA-HO
LA-KH	ISO-3166-2	LA-KH
LA-LM	ISO-3166-2	LA-LM
LA-LP	ISO-3166-2	LA-LP
LA-OU	ISO-3166-2	LA-OU
LA-PH	ISO-3166-2	LA-PH
LA-SL	ISO-3166-2	LA-SL
LA-SV	ISO-3166-2	LA-SV
LA-VI	ISO-3166-2	LA-VI
LA-VT	ISO-3166-2	LA-VT
LA-XA	ISO-3166-2	LA-XA
LA-XE	ISO-3166-2	LA-XE
LA-XI	ISO-3166-2	LA-XI
LA-XN	ISO-3166-2	LA-XN
LB-AK	ISO-3166-2	LB-AK
LB-AS	ISO-3166-2	LB-AS
LB-BA	ISO-3166-2	LB-BA
LB-BH	ISO-3166-2	LB-BH
LB-BI	ISO-3166-2	LB-BI
LB-JA	ISO-3166-2	LB-JA
LB-JL	ISO-3166-2	LB-JL
LB-NA	ISO-3166-2	LB-NA
LI-01	ISO-3166-2	LI-01
LI-02	ISO-3166-2	LI-02
LI-03	ISO-3166-2	LI-03
LI-04	ISO-3166-2	LI-04
LI-05	ISO-3166-2	LI-05
LI-06	ISO-3166-2	LI-06
LI-07	ISO-3166-2	LI-07
LI-08	ISO-3166-2	LI-08
LI-09	ISO-3166-2	LI-09
LI-10	ISO-3166-2	LI-10
LI-11	ISO-3166-2	LI-11
LK-1	ISO-3166-2	LK-1
LK-1-11	ISO-3166-2	LK-11
LK-1-12	ISO-3166-2	LK-12
LK-1-13	ISO-3166-2	LK-13
LK-2	ISO-3166-2	LK-2
LK-2-21	ISO-3166-2	LK-21
LK-2-22	ISO-3166-2	LK-22
LK-2-23	ISO-3166-2	LK-23
LK-3	ISO-3166-2	LK-3
LK-3-31	ISO-3166-2	LK-31
LK-3-33	ISO-3166-2	LK-33
LK-3-32	ISO-3166-2	LK-32
LK-4	ISO-3166-2	LK-4
LK-4-41	ISO-3166-2	LK-41
LK-4-42	ISO-3166-2	LK-42
LK-4-43	ISO-3166-2	LK-43
LK-4-45	ISO-3166-2	LK-45
LK-4-44	ISO-3166-2	LK-44
LK-5	ISO-3166-2	LK-5
LK-5-52	ISO-3166-2	LK-52
LK-5-51	ISO-3166-2	LK-51
LK-5-53	ISO-3166-2	LK-53
LK-6	ISO-3166-2	LK-6
LK-6-61	ISO-3166-2	LK-61
LK-6-62	ISO-3166-2	LK-62
LK-7	ISO-3166-2	LK-7
LK-7-71	ISO-3166-2	LK-71
LK-7-72	ISO-3166-2	LK-72
LK-8	ISO-3166-2	LK-8
LK-8-81	ISO-3166-2	LK-81
LK-8-82	ISO-3166-2	LK-82
LK-9	ISO-3166-2	LK-9
LK-9-92	ISO-3166-2	LK-92
LK-9-91	ISO-3166-2	LK-91
LR-BG	ISO-3166-2	LR-BG
LR-BM	ISO-3166-2	LR-BM
LR-CM	ISO-3166-2	LR-CM
LR-GB	ISO-3166-2	LR-GB
LR-GG	ISO-3166-2	LR-GG
LR-GK	ISO-3166-2	LR-GK
LR-LO	ISO-3166-2	LR-LO
LR-MG	ISO-3166-2	LR-MG
LR-MO	ISO-3166-2	LR-MO
LR-MY	ISO-3166-2	LR-MY
LR-NI	ISO-3166-2	LR-NI
LR-RI	ISO-3166-2	LR-RI
LR-SI	ISO-3166-2	LR-SI
LS-A	ISO-3166-2	LS-A
LS-B	ISO-3166-2	LS-B
LS-C	ISO-3166-2	LS-C
LS-D	ISO-3166-2	LS-D
LS-E	ISO-3166-2	LS-E
LS-F	ISO-3166-2	LS-F
LS-G	ISO-3166-2	LS-G
LS-H	ISO-3166-2	LS-H
LS-J	ISO-3166-2	LS-J
LS-K	ISO-3166-2	LS-K
LT-AL	ISO-3166-2	LT-AL
LT-KL	ISO-3166-2	LT-KL
LT-KU	ISO-3166-2	LT-KU
LT-MR	ISO-3166-2	LT-MR
LT-PN	ISO-3166-2	LT-PN
LT-SA	ISO-3166-2	LT-SA
LT-TA	ISO-3166-2	LT-TA
LT-TE	ISO-3166-2	LT-TE
LT-UT	ISO-3166-2	LT-UT
LT-VL	ISO-3166-2	LT-VL
LU-D	ISO-3166-2	LU-D
LU-G	ISO-3166-2	LU-G
LU-L	ISO-3166-2	LU-L
LV-001	ISO-3166-2	LV-001
LV-002	ISO-3166-2	LV-002
LV-003	ISO-3166-2	LV-003
LV-004	ISO-3166-2	LV-004
LV-005	ISO-3166-2	LV-005
LV-006	ISO-3166-2	LV-006
LV-007	ISO-3166-2	LV-007
LV-008	ISO-3166-2	LV-008
LV-009	ISO-3166-2	LV-009
LV-010	ISO-3166-2	LV-010
LV-011	ISO-3166-2	LV-011
LV-012	ISO-3166-2	LV-012
LV-013	ISO-3166-2	LV-013
LV-014	ISO-3166-2	LV-014
LV-015	ISO-3166-2	LV-015
LV-016	ISO-3166-2	LV-016
LV-017	ISO-3166-2	LV-017
LV-018	ISO-3166-2	LV-018
LV-019	ISO-3166-2	LV-019
LV-020	ISO-3166-2	LV-020
LV-021	ISO-3166-2	LV-021
LV-022	ISO-3166-2	LV-022
LV-023	ISO-3166-2	LV-023
LV-024	ISO-3166-2	LV-024
LV-025	ISO-3166-2	LV-025
LV-026	ISO-3166-2	LV-026
LV-027	ISO-3166-2	LV-027
LV-028	ISO-3166-2	LV-028
LV-029	ISO-3166-2	LV-029
LV-030	ISO-3166-2	LV-030
LV-031	ISO-3166-2	LV-031
LV-032	ISO-3166-2	LV-032
LV-033	ISO-3166-2	LV-033
LV-034	ISO-3166-2	LV-034
LV-035	ISO-3166-2	LV-035
LV-036	ISO-3166-2	LV-036
LV-037	ISO-3166-2	LV-037
LV-038	ISO-3166-2	LV-038
LV-039	ISO-3166-2	LV-039
LV-040	ISO-3166-2	LV-040
LV-041	ISO-3166-2	LV-041
LV-042	ISO-3166-2	LV-042
LV-043	ISO-3166-2	LV-043
LV-044	ISO-3166-2	LV-044
LV-045	ISO-3166-2	LV-045
LV-046	ISO-3166-2	LV-046
LV-047	ISO-3166-2	LV-047
LV-048	ISO-3166-2	LV-048
LV-049	ISO-3166-2	LV-049
LV-050	ISO-3166-2	LV-050
LV-051	ISO-3166-2	LV-051
LV-052	ISO-3166-2	LV-052
LV-053	ISO-3166-2	LV-053
LV-054	ISO-3166-2	LV-054
LV-055	ISO-3166-2	LV-055
LV-056	ISO-3166-2	LV-056
LV-057	ISO-3166-2	LV-057
LV-058	ISO-3166-2	LV-058
LV-059	ISO-3166-2	LV-059
LV-060	ISO-3166-2	LV-060
LV-061	ISO-3166-2	LV-061
LV-062	ISO-3166-2	LV-062
LV-063	ISO-3166-2	LV-063
LV-064	ISO-3166-2	LV-064
LV-065	ISO-3166-2	LV-065
LV-066	ISO-3166-2	LV-066
LV-067	ISO-3166-2	LV-067
LV-068	ISO-3166-2	LV-068
LV-069	ISO-3166-2	LV-069
LV-070	ISO-3166-2	LV-070
LV-071	ISO-3166-2	LV-071
LV-072	ISO-3166-2	LV-072
LV-073	ISO-3166-2	LV-073
LV-074	ISO-3166-2	LV-074
LV-075	ISO-3166-2	LV-075
LV-076	ISO-3166-2	LV-076
LV-077	ISO-3166-2	LV-077
LV-078	ISO-3166-2	LV-078
LV-079	ISO-3166-2	LV-079
LV-080	ISO-3166-2	LV-080
LV-081	ISO-3166-2	LV-081
LV-082	ISO-3166-2	LV-082
LV-083	ISO-3166-2	LV-083
LV-084	ISO-3166-2	LV-084
LV-085	ISO-3166-2	LV-085
LV-086	ISO-3166-2	LV-086
LV-087	ISO-3166-2	LV-087
LV-088	ISO-3166-2	LV-088
LV-089	ISO-3166-2	LV-089
LV-090	ISO-3166-2	LV-090
LV-091	ISO-3166-2	LV-091
LV-092	ISO-3166-2	LV-092
LV-093	ISO-3166-2	LV-093
LV-094	ISO-3166-2	LV-094
LV-095	ISO-3166-2	LV-095
LV-096	ISO-3166-2	LV-096
LV-097	ISO-3166-2	LV-097
LV-098	ISO-3166-2	LV-098
LV-099	ISO-3166-2	LV-099
LV-100	ISO-3166-2	LV-100
LV-101	ISO-3166-2	LV-101
LV-102	ISO-3166-2	LV-102
LV-103	ISO-3166-2	LV-103
LV-104	ISO-3166-2	LV-104
LV-105	ISO-3166-2	LV-105
LV-106	ISO-3166-2	LV-106
LV-107	ISO-3166-2	LV-107
LV-108	ISO-3166-2	LV-108
LV-109	ISO-3166-2	LV-109
LV-110	ISO-3166-2	LV-110
LV-DGV	ISO-3166-2	LV-DGV
LV-JEL	ISO-3166-2	LV-JEL
LV-JKB	ISO-3166-2	LV-JKB
LV-JUR	ISO-3166-2	LV-JUR
LV-LPX	ISO-3166-2	LV-LPX
LV-REZ	ISO-3166-2	LV-REZ
LV-RIX	ISO-3166-2	LV-RIX
LV-VEN	ISO-3166-2	LV-VEN
LV-VMR	ISO-3166-2	LV-VMR
LY-BA	ISO-3166-2	LY-BA
LY-BU	ISO-3166-2	LY-BU
LY-DR	ISO-3166-2	LY-DR
LY-GT	ISO-3166-2	LY-GT
LY-JA	ISO-3166-2	LY-JA
LY-JB	ISO-3166-2	LY-JB
LY-JG	ISO-3166-2	LY-JG
LY-JI	ISO-3166-2	LY-JI
LY-JU	ISO-3166-2	LY-JU
LY-KF	ISO-3166-2	LY-KF
LY-MB	ISO-3166-2	LY-MB
LY-MI	ISO-3166-2	LY-MI
LY-MJ	ISO-3166-2	LY-MJ
LY-MQ	ISO-3166-2	LY-MQ
LY-NL	ISO-3166-2	LY-NL
LY-NQ	ISO-3166-2	LY-NQ
LY-SB	ISO-3166-2	LY-SB
LY-SR	ISO-3166-2	LY-SR
LY-TB	ISO-3166-2	LY-TB
LY-WA	ISO-3166-2	LY-WA
LY-WD	ISO-3166-2	LY-WD
LY-WS	ISO-3166-2	LY-WS
LY-ZA	ISO-3166-2	LY-ZA
MA-01	ISO-3166-2	MA-01
MA-01-CHE	ISO-3166-2	MA-CHE
MA-01-LAR	ISO-3166-2	MA-LAR
MA-01-FAH	ISO-3166-2	MA-FAH
MA-01-TNG	ISO-3166-2	MA-TNG
MA-01-TET	ISO-3166-2	MA-TET
MA-02	ISO-3166-2	MA-02
MA-02-KEN	ISO-3166-2	MA-KEN
MA-02-SIK	ISO-3166-2	MA-SIK
MA-03	ISO-3166-2	MA-03
